amfi_code,cagr_5yr,sharpe_ratio,alpha,beta,max_drawdown,return_rank,sharpe_rank,alpha_rank,mdd_rank,fund_score
119599,0.01805621440370042,-0.05718662582817995,-0.27362422338435166,2.03965414498836,-0.5257422117012851,38.0,32.0,38.0,1.0,27.1
120503,0.16355566129520227,0.7979728586052847,0.028728935886037796,0.9247921208111867,-0.13897862823061635,17.0,17.0,23.0,27.0,16.65
120504,0.20234028033314222,1.0265242847993001,0.11599437019255472,0.6065291576079518,-0.12588275606922517,13.0,10.0,3.0,29.0,9.9
120505,0.2837676208804263,1.1801011976606492,0.10264725537819627,1.1948147642957916,-0.18188513572116294,1.0,5.0,5.0,16.0,4.15
120506,0.1488859671244569,0.6488787755249534,0.018469334050126258,0.914058887459882,-0.1982565826298267,19.0,20.0,26.0,14.0,17.299999999999997
120507,0.06341690270358713,0.4957233929533123,0.06836000378313713,-0.005732200015387921,-0.0009773140045925555,29.0,23.0,12.0,40.0,20.85
120841,0.1181544242649819,0.4942725378672349,0.020996230009682273,0.6951836824355575,-0.1757361416468729,24.0,24.0,25.0,17.0,19.9
120842,0.05873842419478348,0.07599984804658921,-0.09246402314999572,1.075704655273852,-0.24003511326274884,31.0,30.0,33.0,8.0,24.2
120843,0.2674249401072899,1.3067439695428409,0.10264488235821481,1.0687458558332725,-0.1297396816518679,6.0,2.0,6.0,28.0,6.300000000000001
120844,0.060604313665645115,-0.08874729621557288,0.06624144385499518,-0.010671268007490773,-0.0011629327956168556,30.0,34.0,13.0,39.0,24.0
125497,0.16555918956858906,0.7757902498211205,0.03371692785650554,0.9123261794104114,-0.15200013055606398,16.0,18.0,21.0,23.0,15.8
125498,0.09880199138430035,0.3006119210425478,-0.09849952597540401,1.3750608967383793,-0.21117279560132118,26.0,27.0,34.0,12.0,22.55
148567,0.2679927700697151,1.4482911703262598,0.18196793619353316,0.5571340440928769,-0.11265729075028275,5.0,1.0,1.0,33.0,5.25
148568,0.1956595954624316,0.9262873467360146,0.07904245498406462,0.8104117143433328,-0.1527259422823477,14.0,15.0,10.0,22.0,12.149999999999999
148569,0.2762985997578453,1.2349300257743294,0.0964729741905604,1.1745863251691935,-0.1639674294693263,4.0,3.0,8.0,20.0,5.55
149322,0.11695026862847113,0.4640374492204776,-0.019263725813704557,0.9487248528073089,-0.14844576917771746,25.0,25.0,28.0,25.0,21.85
149323,0.256118065778393,1.1321218524747243,0.08772338760612475,1.1204823921524785,-0.17248105753451382,8.0,6.0,9.0,19.0,7.6000000000000005
149324,0.2791743018490922,0.9497958246616031,-0.051278045623042966,2.214803834236839,-0.31171900300634214,3.0,13.0,29.0,4.0,10.350000000000001
